Year, Period, start, end, Location,On_Time_T(%),Booked_T,On_Time_A(%),PPM(%) 
1617, 09, 13-Nov, 10-Dec, Aberdeen,68.2,34,70.7,86.1 
1617, 09, 13-Nov, 10-Dec, Airdrie,65.1,38,58.0,89.1 
1617, 09, 13-Nov, 10-Dec, Alloa,88.2,19,88.2,96.1 
1617, 09, 13-Nov, 10-Dec, Anniesland,76.9,36,48.6,88.7 
1617, 09, 13-Nov, 10-Dec, Arbroath,9.6,1,39.3,70.0 
1617, 09, 13-Nov, 10-Dec, Ardgay,50.5,1,50.5,84.7 
1617, 09, 13-Nov, 10-Dec, Ardrossan Harbour,14.2,16,14.1,88.3 
1617, 09, 13-Nov, 10-Dec, Ardrossan South Beach,61.2,1,70.8,95.1 
1617, 09, 13-Nov, 10-Dec, Ardrossan Town,27.9,3,65.0,93.8 
1617, 09, 13-Nov, 10-Dec, Ayr,73.1,68,73.5,93.2 
1617, 09, 13-Nov, 10-Dec, Balloch,42.9,37,42.9,84.1 
1617, 09, 13-Nov, 10-Dec, Barrhead,71.5,25,54.7,92.5 
1617, 09, 13-Nov, 10-Dec, Bathgate,51.6,7,47.8,87.9 
1617, 09, 13-Nov, 10-Dec, Cardenden,76.2,1,59.4,88.3 
1617, 09, 13-Nov, 10-Dec, Carlisle,50.5,13,55.2,85.0 
1617, 09, 13-Nov, 10-Dec, Carnoustie,26.8,1,39.4,83.9 
1617, 09, 13-Nov, 10-Dec, Carstairs,52.6,4,63.5,89.3 
1617, 09, 13-Nov, 10-Dec, Cowdenbeath,84.8,9,58.4,88.9 
1617, 09, 13-Nov, 10-Dec, Crianlarich,61.4,2,59.6,78.1 
1617, 09, 13-Nov, 10-Dec, Cumbernauld,42.5,54,46.1,87.6 
1617, 09, 13-Nov, 10-Dec, Dalmally,92.4,1,92.4,96.0 
1617, 09, 13-Nov, 10-Dec, Dalmuir,28.2,73,47.6,86.8 
1617, 09, 13-Nov, 10-Dec, Dingwall,53.5,1,52.4,80.9 
1617, 09, 13-Nov, 10-Dec, Dumbarton Central,58.4,36,54.7,88.1 
1617, 09, 13-Nov, 10-Dec, Dumfries,77.4,4,62.3,87.3 
1617, 09, 13-Nov, 10-Dec, Dunbar,85.0,5,85.0,95.6 
1617, 09, 13-Nov, 10-Dec, Dunblane,80.8,41,70.5,90.3 
1617, 09, 13-Nov, 10-Dec, Dundee,64.2,23,61.1,87.3 
1617, 09, 13-Nov, 10-Dec, Dyce,78.8,2,52.9,87.9 
1617, 09, 13-Nov, 10-Dec, East Kilbride,53.8,38,53.8,92.3 
1617, 09, 13-Nov, 10-Dec, Edinburgh,53.3,337,53.2,86.5 
1617, 09, 13-Nov, 10-Dec, Elgin,43.9,1,47.3,86.0 
1617, 09, 13-Nov, 10-Dec, Falkirk Grahamston,57.9,20,69.6,91.1 
1617, 09, 13-Nov, 10-Dec, Fort William,91.3,1,80.5,89.8 
1617, 09, 13-Nov, 10-Dec, Garscadden,55.2,5,58.8,90.1 
1617, 09, 13-Nov, 10-Dec, Girvan,54.2,11,35.7,91.6 
1617, 09, 13-Nov, 10-Dec, Glasgow Central,54.1,484,54.1,92.8 
1617, 09, 13-Nov, 10-Dec, Glenrothes,70.0,41,65.7,87.7 
1617, 09, 13-Nov, 10-Dec, Gourock,52.7,57,52.7,97.2 
1617, 09, 13-Nov, 10-Dec, Haymarket,54.6,3,63.3,90.3 
1617, 09, 13-Nov, 10-Dec, Helensburgh Central,51.9,36,51.9,87.4 
1617, 09, 13-Nov, 10-Dec, Invergordon,62.3,1,43.3,76.0 
1617, 09, 13-Nov, 10-Dec, Inverness,54.6,36,55.1,78.1 
1617, 09, 13-Nov, 10-Dec, Inverurie,72.2,11,54.7,86.5 
1617, 09, 13-Nov, 10-Dec, Irvine,48.8,1,63.9,96.3 
1617, 09, 13-Nov, 10-Dec, Kilmarnock,72.4,27,66.4,89.3 
1617, 09, 13-Nov, 10-Dec, Kirkcaldy,67.0,3,57.9,88.0 
1617, 09, 13-Nov, 10-Dec, Kyle of Lochalsh,48.8,4,48.8,82.7 
1617, 09, 13-Nov, 10-Dec, Lanark,47.5,38,47.5,88.8 
1617, 09, 13-Nov, 10-Dec, Largs,36.9,19,36.9,89.7 
1617, 09, 13-Nov, 10-Dec, Larkhall,46.9,36,46.9,90.8 
1617, 09, 13-Nov, 10-Dec, Lenzie,39.2,1,72.6,93.9 
1617, 09, 13-Nov, 10-Dec, Mallaig,80.9,4,80.9,87.4 
1617, 09, 13-Nov, 10-Dec, Markinch,40.7,1,45.5,68.4 
1617, 09, 13-Nov, 10-Dec, Milngavie,26.1,64,26.1,76.7 
1617, 09, 13-Nov, 10-Dec, Motherwell,49.6,43,48.0,88.9 
1617, 09, 13-Nov, 10-Dec, Neilston,63.3,40,63.0,96.8 
1617, 09, 13-Nov, 10-Dec, Newton,44.4,39,56.1,93.4 
1617, 09, 13-Nov, 10-Dec, North Berwick,83.3,19,83.3,95.0 
1617, 09, 13-Nov, 10-Dec, Oban,66.2,7,66.2,81.5 
1617, 09, 13-Nov, 10-Dec, Paisley Canal,38.7,35,38.7,97.2 
1617, 09, 13-Nov, 10-Dec, Partick,67.6,1,40.0,88.1 
1617, 09, 13-Nov, 10-Dec, Perth,77.4,15,68.1,89.1 
1617, 09, 13-Nov, 10-Dec, Queen Street,56.1,184,56.0,89.8 
1617, 09, 13-Nov, 10-Dec, Springburn,31.5,1,55.7,90.8 
1617, 09, 13-Nov, 10-Dec, Stirling,78.2,11,63.0,90.8 
1617, 09, 13-Nov, 10-Dec, Stonehaven,56.6,3,56.2,85.6 
1617, 09, 13-Nov, 10-Dec, Stranraer,80.1,8,80.1,91.8 
1617, 09, 13-Nov, 10-Dec, Tain,43.1,2,38.8,73.1 
1617, 09, 13-Nov, 10-Dec, Tweedbank,43.1,33,43.1,85.3 
1617, 09, 13-Nov, 10-Dec, Wemyss Bay,57.9,19,57.9,95.6 
1617, 09, 13-Nov, 10-Dec, Whifflet,61.7,16,47.0,89.6 
1617, 09, 13-Nov, 10-Dec, Wick,27.1,4,27.1,56.0 
