Year, Period, start, end, Location,On_Time_T(%),Booked_T,On_Time_A(%),PPM(%) 
1617, 10, 11-Dec, 07-Jan, North Berwick,83.6,19,83.6,95.3 
1617, 10, 11-Dec, 07-Jan, Oban,67.9,7,67.9,82.6 
1617, 10, 11-Dec, 07-Jan, Paisley Canal,38.9,35,38.9,97.3 
1617, 10, 11-Dec, 07-Jan, Partick,66.5,1,40.5,88.2 
1617, 10, 11-Dec, 07-Jan, Perth,77.8,15,68.2,89.3 
1617, 10, 11-Dec, 07-Jan, Queen Street,56.2,184,56.1,90.0 
1617, 10, 11-Dec, 07-Jan, Springburn,32.6,1,56.2,90.7 
1617, 10, 11-Dec, 07-Jan, Stirling,78.4,11,63.7,90.9 
1617, 10, 11-Dec, 07-Jan, Stonehaven,55.7,3,55.9,85.8 
1617, 10, 11-Dec, 07-Jan, Stranraer,80.6,8,80.6,92.3 
1617, 10, 11-Dec, 07-Jan, Tain,41.4,2,38.8,73.2 
1617, 10, 11-Dec, 07-Jan, Tweedbank,43.2,33,43.2,85.5 
1617, 10, 11-Dec, 07-Jan, Wemyss Bay,57.5,19,57.5,95.6 
1617, 10, 11-Dec, 07-Jan, Whifflet,62.4,16,47.6,89.7 
1617, 10, 11-Dec, 07-Jan, Wick,28.6,4,28.6,57.5 
